date,e5,e10,disel
01-05-16 21:28:00,1259,0,1039
01-05-16 21:32:00,1259,0,1039
01-05-16 21:36:00,1259,0,1039
01-05-16 21:40:00,1259,0,1039
01-05-16 21:44:00,1259,0,1039
01-05-16 21:48:00,1259,0,1039
01-05-16 21:52:00,1259,0,1039
01-05-16 21:56:00,1259,0,1039
01-05-16 22:00:00,1259,0,1039
01-05-16 22:04:00,1259,0,1039
01-05-16 22:08:00,1259,0,1039
01-05-16 22:12:00,1259,0,1039
01-05-16 22:16:00,1259,0,1039
01-05-16 22:20:00,1259,0,1039
01-05-16 22:24:00,1259,0,1039
01-05-16 22:28:00,1259,0,1039
01-05-16 22:32:00,1259,0,1039
01-05-16 22:36:00,1259,0,1039
01-05-16 22:40:00,1259,0,1039
01-05-16 22:44:00,1259,0,1039
01-05-16 22:48:00,1259,0,1039
01-05-16 22:52:00,1259,0,1039
01-05-16 22:56:00,1259,0,1039
01-05-16 23:00:00,1259,0,1039
01-05-16 23:04:00,1259,0,1039
01-05-16 23:08:00,1259,0,1039
01-05-16 23:12:00,1259,0,1039
01-05-16 23:16:00,1259,0,1039
01-05-16 23:20:00,1259,0,1039
01-05-16 23:24:00,1259,0,1039
01-05-16 23:28:00,1259,0,1039
01-05-16 23:32:00,1259,0,1039
01-05-16 23:36:00,1259,0,1039
01-05-16 23:40:00,1259,0,1039
01-05-16 23:44:00,1259,0,1039
01-05-16 23:48:00,1259,0,1039
01-05-16 23:52:00,1259,0,1039
01-05-16 23:56:00,1259,0,1039
02-05-16 0:00:00,1259,0,1039
02-05-16 0:04:00,1259,0,1039
02-05-16 0:08:00,1259,0,1039
02-05-16 0:12:00,1259,0,1039
02-05-16 0:16:00,1259,0,1039
02-05-16 0:20:00,1259,0,1039
02-05-16 0:24:00,1259,0,1039
02-05-16 0:28:00,1259,0,1039
02-05-16 0:32:00,1259,0,1039
02-05-16 0:36:00,1259,0,1039
02-05-16 0:40:00,1259,0,1039
02-05-16 0:44:00,1259,0,1039
02-05-16 0:48:00,1259,0,1039
02-05-16 0:52:00,1259,0,1039
02-05-16 0:56:00,1259,0,1039
02-05-16 1:00:00,1259,0,1039
02-05-16 1:04:00,1259,0,1039
02-05-16 1:08:00,1259,0,1039
02-05-16 1:12:00,1259,0,1039
02-05-16 1:16:00,1259,0,1039
02-05-16 1:20:00,1259,0,1039
02-05-16 1:24:00,1259,0,1039
02-05-16 1:28:00,1259,0,1039
02-05-16 1:32:00,1259,0,1039
02-05-16 1:36:00,1259,0,1039
02-05-16 1:40:00,1259,0,1039
02-05-16 1:44:00,1259,0,1039
02-05-16 1:48:00,1259,0,1039
02-05-16 1:52:00,1259,0,1039
02-05-16 1:56:00,1259,0,1039
02-05-16 2:00:00,1259,0,1039
02-05-16 2:04:00,1259,0,1039
02-05-16 2:08:00,1259,0,1039
02-05-16 2:12:00,1259,0,1039
02-05-16 2:16:00,1259,0,1039
02-05-16 2:20:00,1259,0,1039
02-05-16 2:24:00,1259,0,1039
02-05-16 2:28:00,1259,0,1039
02-05-16 2:32:00,1259,0,1039
02-05-16 2:36:00,1259,0,1039
02-05-16 2:40:00,1259,0,1039
02-05-16 2:44:00,1259,0,1039
02-05-16 2:48:00,1259,0,1039
02-05-16 2:52:00,1259,0,1039
02-05-16 2:56:00,1259,0,1039
02-05-16 3:00:00,1259,0,1039
02-05-16 3:04:00,1259,0,1039
02-05-16 3:08:00,1259,0,1039
02-05-16 3:12:00,1259,0,1039
02-05-16 3:16:00,1259,0,1039
02-05-16 3:20:00,1259,0,1039
02-05-16 3:24:00,1259,0,1039
02-05-16 3:28:00,1259,0,1039
02-05-16 3:32:00,1259,0,1039
02-05-16 3:36:00,1259,0,1039
02-05-16 3:40:00,1259,0,1039
02-05-16 3:44:00,1259,0,1039
02-05-16 3:48:00,1259,0,1039
02-05-16 3:52:00,1259,0,1039
02-05-16 3:56:00,1259,0,1039
02-05-16 4:00:00,1259,0,1039
02-05-16 4:04:00,1259,0,1039
02-05-16 4:08:00,1259,0,1039
02-05-16 4:12:00,1259,0,1039
02-05-16 4:16:00,1259,0,1039
02-05-16 4:20:00,1259,0,1039
02-05-16 4:24:00,1259,0,1039
02-05-16 4:28:00,1259,0,1039
02-05-16 4:32:00,1259,0,1039
02-05-16 4:36:00,1259,0,1039
02-05-16 4:40:00,1259,0,1039
02-05-16 4:44:00,1259,0,1039
02-05-16 4:48:00,1259,0,1039
02-05-16 4:52:00,1259,0,1039
02-05-16 4:56:00,1259,0,1039
02-05-16 5:00:00,1259,0,1039
02-05-16 5:04:00,1259,0,1039
02-05-16 5:08:00,1259,0,1039
02-05-16 5:12:00,1259,0,1039
02-05-16 5:16:00,1259,0,1039
02-05-16 5:20:00,1259,0,1039
02-05-16 5:24:00,1259,0,1039
02-05-16 5:28:00,1259,0,1039
02-05-16 5:32:00,1259,0,1039
02-05-16 5:36:00,1259,0,1039
02-05-16 5:40:00,1259,0,1039
02-05-16 5:44:00,1259,0,1039
02-05-16 5:48:00,1259,0,1039
02-05-16 5:52:00,1259,0,1039
02-05-16 5:56:00,1259,0,1039
02-05-16 6:00:00,1259,0,1039
02-05-16 6:04:00,1259,0,1039
02-05-16 6:08:00,1259,0,1039
02-05-16 6:12:00,1259,0,1039
02-05-16 6:16:00,1259,0,1039
02-05-16 6:20:00,1259,0,1039
02-05-16 6:24:00,1259,0,1039
02-05-16 6:28:00,1259,0,1039
02-05-16 6:32:00,1259,0,1039
02-05-16 6:36:00,1259,0,1039
02-05-16 6:40:00,1259,0,1039
02-05-16 6:44:00,1259,0,1039
02-05-16 6:48:00,1319,0,1089
02-05-16 6:52:00,1319,0,1089
02-05-16 6:56:00,1319,0,1089
02-05-16 7:00:00,1319,0,1089
02-05-16 7:04:00,1319,0,1089
02-05-16 7:08:00,1319,0,1089
02-05-16 7:12:00,1319,0,1089
02-05-16 7:16:00,1319,0,1089
02-05-16 7:20:00,1319,0,1089
02-05-16 7:24:00,1319,0,1089
02-05-16 7:28:00,1319,0,1089
02-05-16 7:32:00,1319,0,1089
02-05-16 7:36:00,1319,0,1089
02-05-16 7:40:00,1319,0,1089
02-05-16 7:44:00,1319,0,1089
02-05-16 7:48:00,1319,0,1089
02-05-16 7:52:00,1319,0,1089
02-05-16 7:56:00,1319,0,1089
02-05-16 8:00:00,1319,0,1089
02-05-16 8:04:00,1319,0,1089
02-05-16 8:08:00,1319,0,1089
02-05-16 8:12:00,1319,0,1089
02-05-16 8:16:00,1319,0,1089
02-05-16 8:20:00,1319,0,1089
02-05-16 8:24:00,1319,0,1089
02-05-16 8:28:00,1319,0,1089
02-05-16 8:32:00,1319,0,1089
02-05-16 8:36:00,1319,0,1089
02-05-16 8:40:00,1319,0,1089
02-05-16 8:44:00,1319,0,1089
02-05-16 8:48:00,1319,0,1089
02-05-16 8:52:00,1319,0,1089
02-05-16 8:56:00,1319,0,1089
02-05-16 9:00:00,1319,0,1089
02-05-16 9:04:00,1319,0,1089
02-05-16 9:08:00,1319,0,1089
02-05-16 9:12:00,1319,0,1089
02-05-16 9:16:00,1319,0,1089
02-05-16 9:20:00,1319,0,1089
02-05-16 9:24:00,1319,0,1089
02-05-16 9:28:00,1319,0,1089
02-05-16 9:32:00,1319,0,1089
02-05-16 9:36:00,1319,0,1089
02-05-16 9:40:00,1319,0,1089
02-05-16 9:44:00,1319,0,1089
02-05-16 9:48:00,1319,0,1089
02-05-16 9:52:00,1319,0,1089
02-05-16 9:56:00,1319,0,1089
02-05-16 10:00:00,1319,0,1089
02-05-16 10:04:00,1319,0,1089
02-05-16 10:08:00,1319,0,1089
02-05-16 10:12:00,1319,0,1089
02-05-16 10:16:00,1319,0,1089
02-05-16 10:20:00,1319,0,1089
02-05-16 10:24:00,1319,0,1089
02-05-16 10:28:00,1319,0,1089
02-05-16 10:32:00,1319,0,1089
02-05-16 10:36:00,1319,0,1089
02-05-16 10:40:00,1319,0,1089
02-05-16 10:44:00,1319,0,1089
02-05-16 10:48:00,1319,0,1089
02-05-16 10:52:00,1319,0,1089
02-05-16 10:56:00,1319,0,1089
02-05-16 11:00:00,1319,0,1089
02-05-16 11:04:00,1319,0,1089
02-05-16 11:08:00,1319,0,1089
02-05-16 11:12:00,1319,0,1089
